カテゴリー,想定質問,回答
5. 名入れ,注文後に名入れ内容を変更したい、またはスペルを間違えました,製作開始前であれば変更できる場合があります。できるだけ早く、注文者名・商品名・変更後の文字を公式LINEから店主へ直接ご連絡ください。刻印後は作り直しが必要になる場合があります。
6. 革・素材・お手入れ,どのような革を使っていますか？本革ですか？,主に「マヤ」という種類の植物タンニン鞣しの牛革を使っています。カピバラの革ではありません。独特な手触りや表情があり、使うほどに色つやが深まる経年変化を楽しめます。
6. 革・素材・お手入れ,植物タンニン鞣し革とは何ですか？,植物タンニン鞣し革は、植物から抽出した成分を使って仕上げた革です。使い込むほど色つやが深まり、手になじんでいく経年変化を楽しめるのが魅力です。革らしい自然な風合いや香りも感じられます。一方で、水濡れや日焼けによるシミ・色の変化が起こりやすく、傷もつきやすい素材です。変化も含めて育てながら楽しむ革です。
6. 革・素材・お手入れ,革の傷・シワ・色むらは不良品ですか？,天然の牛革には、生きていた頃についた傷やシワ、血筋、色むらなどが見られます。同じ色でも部位や製造時期によって表情が異なりますが、使用に問題がないものは天然素材ならではの個体差として使用しています。
6. 革・素材・お手入れ,革の手触りやにおいはどのような感じですか？,表面に細かな毛羽立ちがあり、少しザラッとした手触りと本革特有の香りがあります。使い込むうちにつやが出て、手触りや香りも少しずつ落ち着いていきます。
6. 革・素材・お手入れ,革は使ううちにどのように変化しますか？,手の油分や摩擦、日光などの影響で色が深まり、つやが増していきます。この変化を経年変化（エイジング）と呼び、色や使い方によって変化の仕方は異なります。
6. 革・素材・お手入れ,日焼けや明るい色の経年変化について教えてください,日光や紫外線に当たると革の色が濃くなり、特に明るい色は落ち着いた色合いへ変化しやすいです。一度変化した色を購入時の状態へ戻すことは難しいため、直射日光を避けて保管してください。
6. 革・素材・お手入れ,雨・水濡れ・汗による変色や色移りはありますか？,水濡れや汗は、シミ・変色・色落ち・色移りの原因になります。濡れた場合はこすらず、乾いたやわらかい布で水分を押さえ、風通しのよい日陰で自然乾燥させてください。
6. 革・素材・お手入れ,日常のお手入れ方法と革用クリームについて教えてください,普段は、やわらかい布での乾拭きや軽いブラッシングだけで十分です。乾燥が気になる場合のみ、植物タンニン鞣し革に使える無色の革用クリームを、目立たない場所で試してから少量お使いください。
6. 革・素材・お手入れ,アルコールや防水スプレーを使ってもよいですか？,アルコールは色落ちや変色、乾燥の原因になるため使用しないでください。革対応の防水スプレーは使用できますが、色や風合いが変わる場合があるため、目立たない場所で試してください。
6. 革・素材・お手入れ,革小物の保管方法を教えてください,直射日光・高温多湿・水気を避け、風通しのよい場所で保管してください。長期間使わない場合は汚れや水分を拭き取り、形を整え、ビニール袋など密閉性の高い袋は避けてください。
6. 革・素材・お手入れ,革に傷がついた場合は直せますか？,浅い擦り傷は、乾いたやわらかい布でやさしくなでると目立ちにくくなる場合があります。深い傷を完全に元へ戻すことは難しいです。修理をご希望の場合は公式LINEから店主に直接ご相談ください。
7. サイズ・収納力・使い方,商品のサイズや、手持ちの鍵が入るか確認したいです,各商品ページに縦・横・厚みを記載しています。鍵やスマートキーが入るか不安な場合は、収納したいもののサイズや写真を公式LINEから店主に直接お送りください。
7. サイズ・収納力・使い方,使い始めの革は硬いですか？どのくらいでなじみますか？,植物タンニン鞣しの本革は、使い始めに少し硬さを感じる場合があります。使う頻度や収納量によって異なりますが、日常的に使うことで少しずつやわらかくなじんでいきます。
8. ギフト,ギフトラッピングはできますか？料金と内容を教えてください,はい、無料で対応しています。Capy-noのオリジナルボックスにリボンを付け、お渡し用の紙袋も同梱します。商品をカートへ入れる際に「ギフトラッピングあり」を選択してください。
8. ギフト,ラッピングの見た目を確認したいです,Capy-noのオリジナルボックスにリボンをお付けしています。商品ページにギフトラッピング例を掲載していますのでご確認ください。リボンの色はお作りする革小物によって変更する場合があります。
8. ギフト,プレゼント相手へ直接送れますか？金額の分かるものは入りますか？,はい、相手の住所へ直接発送できます。購入者情報にはご注文者さま、お届け先には受け取る方の情報をご入力ください。納品書など、金額や購入者さまの個人情報が分かるものは同梱していません。
8. ギフト,贈り主の名前を分かるようにできますか？,はい。送り状などで贈り主さまが分かるようにしたい場合は、備考欄へご希望をご記入ください。配送方法によって表示方法が異なるため、必要に応じて確認します。
8. ギフト,誕生日や記念日までに届けられますか？急ぎの製作はできますか？,通常は注文確定から発送まで最大2週間のお時間をいただいています。それより早い発送を希望する場合は、商品名・希望到着日・届け先の都道府県を公式LINEから店主に直接ご相談ください。
8. ギフト,複数の商品をまとめて、または商品ごとに分けてラッピングできますか？,はい、まとめてラッピングすることも、商品ごとに分けることもできます。希望する内容を備考欄へご記入ください。
8. ギフト,プレゼント相手が交換を希望した場合はどうなりますか？,商品に欠陥がある場合や注文内容と異なる場合は、到着後1週間以内にお問い合わせフォームまたは公式LINEからご連絡ください。色やイメージなどお客さま都合による交換は、原則として承っていません。
9. 注文・支払い・納期・発送,注文方法を教えてください,商品ページで色やオプションを選び、カートへ入れて購入手続きを進めてください。
9. 注文・支払い・納期・発送,注文できているか確認したいです。確認メールが届きません,注文完了後、ご登録のメールアドレスへ確認メールが届きます。迷惑メールフォルダや受信設定をご確認ください。見つからない場合は、注文者名と注文日時を公式LINEまたはお問い合わせフォームからお知らせください。
9. 注文・支払い・納期・発送,複数商品をまとめて注文・同梱できますか？,同じカートに入れた商品はまとめて注文でき、すべて完成してから一緒に発送します。別々に注文した商品も、発送前であれば同梱できる場合がありますので、早めにご連絡ください。
9. 注文・支払い・納期・発送,注文内容の変更やキャンセルはできますか？,製作・発送前であれば、変更やキャンセルができる場合があります。できるだけ早く、注文者名・注文商品・希望内容を公式LINEまたはお問い合わせフォームからご連絡ください。決済方法や製作状況によっては対応できない場合があります。
9. 注文・支払い・納期・発送,利用できる支払い方法と支払いのタイミングを教えてください,利用できる支払い方法と支払いのタイミングは、購入画面に表示される決済方法によって異なります。クレジットカード以外の方法を利用できる場合もありますので、購入画面の案内をご確認ください。
9. 注文・支払い・納期・発送,クーポンの使い方が分かりません,商品をカートへ入れ、購入手続き画面のクーポン欄へコードを入力してください。
9. 注文・支払い・納期・発送,注文後に支払い方法を変更できますか？,注文確定後は支払い方法を変更できないため、一度キャンセルして再注文が必要になることがあります。注文者名と注文内容をご確認の上、お問い合わせフォームまたは公式LINEからお知らせください。
9. 注文・支払い・納期・発送,注文から発送まで何日かかりますか？「発送目安」とは何ですか？,ご注文確定後、基本は最大2週間以内に製作・発送します。発送目安は、ご注文確定から商品を発送するまでのおおよその期間で、お届け日はこれに配送日数を加えた日になります。
9. 注文・支払い・納期・発送,早めの発送や使用予定日までの到着はできますか？,製作状況によっては発送目安より早く完成する場合があります。急ぎの場合は、商品名・希望到着日・届け先の都道府県を、ご注文前に公式LINEから店主へ直接ご相談ください。
9. 注文・支払い・納期・発送,カスタマイズや複数注文で納期は長くなりますか？,刻印や色の変更は通常の納期でお届けします。サイズ・構造の変更や大口注文は、通常より製作期間をいただく場合があります。
9. 注文・支払い・納期・発送,送料はいくらですか？送料無料の条件はありますか？,送料は全国一律無料です。購入金額による条件はありません。
9. 注文・支払い・納期・発送,配送方法と受け取り方法を教えてください,厚みのあるアイテムはヤマト運輸の「宅急便コンパクト」または「宅急便」で、対面でのお受け取りとなります。それ以外は日本郵便の「クリックポスト」で郵便受けへ投函します。郵便受けに入らない場合は不在票が入ることがあります。
9. 注文・支払い・納期・発送,追跡番号はありますか？,アイテム発送通知にて追跡番号をお知らせします。
9. 注文・支払い・納期・発送,お届け日時を指定できますか？,宅急便でお届けする商品は、希望時間のみご指定いただけます。お届け日の指定をご希望の場合は、発送時にお知らせする追跡番号から配送会社へお手続きください。
9. 注文・支払い・納期・発送,発送後どのくらいで届きますか？北海道・沖縄にも送れますか？,地域や配送状況によりますが、発送後は通常数日程度で届きます。北海道・沖縄を含む日本国内へ発送できますが、遠方や離島では通常より日数がかかる場合があります。
9. 注文・支払い・納期・発送,宿泊先や勤務先へ送れますか？,受け取り先の許可があり、宛先情報を正しく入力できれば発送できます。宿泊先の場合は、宿泊日・予約名・施設の受け取り可否を事前にご確認ください。
9. 注文・支払い・納期・発送,配送先の住所を間違えました。変更できますか？,発送前であれば変更できる場合があります。できるだけ早く、注文者名・正しい郵便番号・住所・宛名をご連絡ください。発送後は当店で変更できない場合があるため、配送会社へご相談ください。
9. 注文・支払い・納期・発送,商品が届きません,発送完了のお知らせに記載している追跡情報をご確認ください。配達完了になっている場合は、ご家族、郵便受け、宅配ボックス、不在票もご確認ください。見つからない場合はお問い合わせフォームまたは公式LINEからご連絡ください。
10. 返品・交換・修理,返品・交換はできますか？,商品に欠陥がある場合や、注文内容と異なる商品が届いた場合は、到着後1週間以内にご連絡ください。色・サイズ・イメージの違いなど、お客さま都合による返品・交換は原則として承っていません。
10. 返品・交換・修理,名入れ・カスタマイズ商品は返品できますか？,お客さまのご指定に合わせて製作した名入れ・カスタマイズ商品は、お客さま都合による返品・交換を承っていません。商品に欠陥がある場合や注文内容と異なる場合は対応します。
10. 返品・交換・修理,注文と違う商品が届いた、商品が不足しています,申し訳ございません。到着後1週間以内に、注文者名・注文内容・届いた商品の写真を、公式LINEまたはお問い合わせフォームからお知らせください。
10. 返品・交換・修理,商品に傷・不具合・配送中の破損がありました,申し訳ございません。商品・梱包・配送伝票を保管し、到着後1週間以内に、傷や破損部分と梱包状態が分かる写真を添えてご連絡ください。状態を確認し、修理・交換・返品などをご案内します。
10. 返品・交換・修理,使っているうちに壊れました。修理できますか？,状態や商品によっては修理できます。糸の縫い直し、金具交換、革パーツ交換などに対応できる場合があります。注文者名・商品名・破損部分の写真を公式LINEからお送りください。
10. 返品・交換・修理,修理料金と期間を知りたいです,修理内容や交換する材料、製作状況によって異なります。状態を写真で確認したうえで、修理料金・往復送料・期間の目安をご案内します。
10. 返品・交換・修理,他店の商品や、購入履歴がない商品も修理できますか？,基本的にはCapy-noで製作した商品の修理を承っています。購入履歴が見つからなくても、Capy-noの商品であることが確認できれば相談できます。他店の商品は修理をお受けできません。
11. Capy-noについて,Capy-noはどのようなブランドですか？商品は手作りですか？,Capy-no（カピーノ）は、日常で使いやすい本革の小物に、カピバラのささやかな可愛さを取り入れたブランドです。革の裁断、刻印、縫製、仕上げまで、一つひとつ手作業で製作しています。
11. Capy-noについて,なぜカピバラの革小物を作っているのですか？,のんびりとしたカピバラの姿を、毎日の暮らしの中でも楽しんでいただきたいと考えたことがきっかけです。大人が仕事や日常で使いやすい、控えめな可愛さを大切にしています。
11. Capy-noについて,実店舗はありますか？商品を直接見られますか？,常設の実店舗はありません。イベント出店時には商品を直接ご覧いただけます。出店予定は公式LINEやInstagramなどでお知らせします。
11. Capy-noについて,SNS・新作・再販情報について教えてください,InstagramやX（旧Twitter）、公式LINEで、新作・再販・イベントなどの最新情報をお知らせしています。
11. Capy-noについて,公式LINEに登録すると何がありますか？,新作や限定商品のご案内、オンラインショップのお知らせなどをお届けしています。それだけでなく商品選びやカスタマイズの個別相談にもご利用いただけます。
11. Capy-noについて,問い合わせ方法と返信時間を教えてください,公式LINEまたはお問い合わせフォームから店主に直接お問い合わせいただけます。お問い合わせには24時間以内に返信しています。定休日はありませんが、長期休暇をとる場合は公式LINEやInstagramなどでお知らせします。
